,elapsed,memory,agentsreply,resultsize,TimeTotalExecute,NumRowsProcessed,LogRowsProcessed,NumIndexSeeks,NumIndexScans,NumIndexWildSeeks,NumIndexMerges,NumLeafCacheHits,NumNodeCacheHits,NumLeafCacheAdds,NumIndexAccepted,NumIndexRejected,NumIndexRowsRead,TimeSortElapsed,NumGroups,TimeLocalExecute,NumAllocations,SizeAgentReply,TimeAgentWait,TimeLeafLoad,TimeLeafRead,NumLeafDiskFetches,TimeLeafFetch,fDMetaphone1.NumStarts,fDMetaphone1.NumStops,fDMetaphone1.TimeLocalExecute,fREGEXREPLACE.TimeLocalExecute,fgetGlobalId.TimeLocalExecute,fgetLocalId.TimeLocalExecute,fgetCallerId.TimeLocalExecute,fdbglog.TimeLocalExecute,NumNodeCacheAdds,TimeNodeLoad,TimeNodeRead,NumNodeDiskFetches,TimeNodeFetch,%BranchMiss,%LeafMiss,%BranchFetch,%LeafFetch,AvgTimeBranchFetch,AvgTimeLeafFetch
0,95,10,151523,172498,960.358,9437,9.152393412021333,731,792.0,197,8.0,101,620,122.0,808,477.0,1269.0,0.001986,166.0,34.531,84551,147.971Kb,17.891,25.882,5.827,28.0,5.427,520.0,520.0,0.254063,0.008889,0.0011539999999999,0.000239,0.000184,0.014183,,,,,,0.0,54.7085201793722,,22.950819672131143,,0.1938214285714285
1,33,10,64109,67775,321.876,3635,8.19836438996762,323,542.0,97,9.0,118,318,,558,412.0,954.0,0.001064,66.0,16.287,32847,62.606Kb,7.247,,,,,166.0,166.0,0.098823,0.0096189999999999,0.001211,0.000527,0.000181,0.018512,,,,,,0.0,0.0,,,,
2,81,9,129099,165931,868.211,8934,9.097619501912064,799,2740.0,218,13.0,123,702,160.0,2756,2491.0,5231.0,0.001454,151.0,45.185,83794,126.073Kb,24.197,37.896,11.974,64.0,11.599,158.0,158.0,0.127533,0.0076929999999999,0.001151,0.000747,0.000236,0.0207,,,,,,0.0,56.53710247349823,,40.0,,0.181234375
3,58,9,76706,81271,1345.0,5046,8.526351129201004,523,4452.0,160,10.0,97,519,142.0,4468,4302.0,8754.0,0.000425,78.0,60.942,50411,74.908Kb,31.743,36.718,11.926,48.0,11.529,80.0,80.0,0.054021,0.008013,0.000871,0.000305,0.000542,0.02007,,,,,,0.0,59.41422594142259,,33.80281690140845,,0.2401875
4,98,10,240539,379568,1277.0,17590,9.775085837731604,2041,1774.0,977,9.0,762,1803,251.0,1790,1140.0,2914.0,0.000954,338.0,49.337,155416,234.901Kb,26.124,49.205,6.174,37.0,5.357,656.0,656.0,0.364813,0.010307,0.001521,0.000434,0.0002,0.020552,,,,,,0.0,24.777887462981244,,14.741035856573705,,0.1447837837837838
5,168,10,190986,244668,2056.0,11944,9.387984339219026,941,3412.0,260,11.0,129,793,185.0,3428,2997.0,6409.0,0.000745,219.0,88.45,101463,186.509Kb,44.011,45.698,16.789,18.0,16.12,510.0,510.0,0.229676,0.010397,0.001369,0.000353,0.00021,0.02468,,,,,,0.0,58.9171974522293,,9.72972972972973,,0.8955555555555557
6,104,9,37939,48215,1105.0,2392,7.779885115070522,246,3968.0,68,12.0,40,241,89.0,3984,3913.0,7881.0,0.000422,49.0,58.76,22047,37.049Kb,30.67,19.936,5.621,30.0,5.419,20.0,20.0,0.02037,0.010673,0.001415,0.000788,0.00019,0.013,6.0,0.900485,0.706332,6.0,0.706332,2.42914979757085,68.9922480620155,100.0,33.70786516853933,0.117722,0.1806333333333333
7,96,9,56675,63157,738.348,3271,8.092851027538384,290,351.0,84,6.0,46,269,50.0,365,247.0,598.0,0.00031,63.0,39.369,28387,55.346Kb,20.427,13.75,3.855,21.0,3.691,54.0,54.0,0.028475,0.013094,0.001986,0.000563,0.000164,0.053077,,,,,,0.0,52.083333333333336,,42.0,,0.1757619047619047
8,130,10,233248,275345,1909.0,13807,9.532930988916153,1013,5269.0,265,12.0,122,830,216.0,5285,4721.0,9990.0,0.0013369999999999,238.0,70.596,117077,227.781Kb,36.218,35.391,1.735,7.0,0.903312,686.0,686.0,0.4132429999999999,0.008083,0.0012729999999999,0.000305,0.000252,0.0197929999999999,,,,,,0.0,63.905325443786985,,3.240740740740741,,0.1290445714285714
9,134,10,121416,164704,1210.0,7977,8.984317679911129,674,1595.0,192,10.0,96,599,135.0,1611,1364.0,2959.0,0.001045,147.0,49.485,70425,118.570Kb,25.753,27.988,4.889,28.0,4.45,600.0,600.0,0.353834,0.010941,0.001795,0.000434,0.000228,0.0200249999999999,,,,,,0.0,58.44155844155844,,20.74074074074074,,0.1589285714285714
